out_k,ts_quota,tl_quota,kts_pool,kdoc_pool,ts_support_rate_base,tl_domqt_rate_base,fused_any_rate,fused_domqt_rate
20,0,20,4,60,0.065000,0.970000,0.905000,0.905000
20,1,19,4,60,0.065000,0.970000,0.910000,0.905000
20,2,18,4,60,0.065000,0.970000,0.910000,0.895000
30,0,30,4,60,0.065000,0.970000,0.925000,0.925000
30,1,29,4,60,0.065000,0.970000,0.925000,0.925000
30,2,28,4,60,0.065000,0.970000,0.935000,0.925000
40,0,40,4,60,0.065000,0.970000,0.950000,0.950000
40,1,39,4,60,0.065000,0.970000,0.950000,0.950000
40,2,38,4,60,0.065000,0.970000,0.960000,0.950000
60,0,60,4,60,0.065000,0.970000,0.970000,0.970000
60,1,59,4,60,0.065000,0.970000,0.970000,0.970000
60,2,58,4,60,0.065000,0.970000,0.965000,0.965000
